Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Function Calls,Maximum Function Calls,Mean Function Calls,Minimum Function Forks,Maximum Function Forks,Mean Function Forks,Minimum Function Calls & Forks,Maximum Function Calls & Forks,Mean Funciton Calls & Forks,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,27.32,8.641,-100,104.3,59.5603,0,4009,671.126,0,0,0,0,4009,671.126,0,34.34,2.19506,0,81.1,6.00342
0,31.16,8.7133,-100,96,58.997,0,4019,683.133,0,0,0,0,4019,683.133,0,32.94,2.09706,0,81.34,5.82484
0,38.36,8.98952,-100,94,59.547,0,7906,732.858,0,0,0,0,7906,732.858,0,34.86,2.0109,0,81.58,6.66224
0,38.94,8.91554,-100,95,61.334,0,7825,753.111,0,0,0,0,7825,753.111,0,37.6,2.08444,0,82.08,7.26016
0,79.2,8.97622,-100,97,59.965,0,8109,746.066,0,0,0,0,8109,746.066,0,37.82,2.12298,0,81.82,6.9184
0,77.8,9.10952,-100,97,61.884,0,8070,731.445,0,0,0,0,8070,731.445,0,42,2.03438,0,81.42,6.22012
0,26.58,8.87654,-100,94,62.192,0,4016,726.898,0,0,0,0,4016,726.898,0,42.04,2.12216,0,81.4,6.89678
0,30.9,9.01912,-100,94,63.262,0,4080,716.337,0,0,0,0,4080,716.337,0,41.62,1.97754,0,81.46,6.42954
0,48.68,9.10056,-100,94,61.889,0,4021,726.907,0,0,0,0,4021,726.907,0,41.8,1.94964,0,81.44,6.68216
0,39.04,9.2996,-100,92,60.763,0,4037,737.892,0,0,0,0,4037,737.892,0,41.36,1.92258,0,81.74,6.84336
0,31.7,9.44972,-100,96,63.4,0,5231,739.819,0,0,0,0,5231,739.819,0,41.7,2.11902,0,82,7.01408
0,23.34,8.96578,-100,96,61.781,0,6649,715.215,0,0,0,0,6649,715.215,0,20.86,2.06172,0,81.3,6.73732
0,31.96,9.07072,-100,94,61.145,0,8033,707.148,0,0,0,0,8033,707.148,0,26.92,1.91804,0,81.18,6.48608
0,32.42,8.88106,-100,94,61.342,0,4023,715.332,0,0,0,0,4023,715.332,0,54.22,2.01344,0,107.72,7.0887
0,31.36,8.49558,-100,95,59.487,0,8033,776.261,0,0,0,0,8033,776.261,0,53.94,1.97454,0,108.4,7.84808
0,38.46,8.75546,-100,96,61.006,0,7147,742.08,0,0,0,0,7147,742.08,0,32,2.05042,0,107.16,6.77758
0,46.68,8.90926,-100,95,61.029,0,4027,691.982,0,0,0,0,4027,691.982,0,24.12,1.95618,0,81.5,5.89896
0,47.08,8.77868,-100,97,60.539,0,8030,701.378,0,0,0,0,8030,701.378,0,24,1.91334,0,81.6,6.16708
0,41.8,8.82114,-100,96,61.22,0,8076,748.94,0,0,0,0,8076,748.94,0,29.5,2.11744,0,97.74,6.7805
0,36.82,8.73108,-100,97,59.93,0,4023,739.024,0,0,0,0,4023,739.024,0,29.28,1.96348,0,97.36,7.21252
0,30.98,8.91848,-100,93,60.221,0,8088,730.186,0,0,0,0,8088,730.186,0,29.34,2.11282,0,96.46,7.12306
0,33.54,8.83146,-100,95,60.661,0,4690,709.458,0,0,0,0,4690,709.458,0,29.2,2.31926,0,96.9,6.51452
0,48.56,9.02766,-100,98,60.562,0,4031,683.15,0,0,0,0,4031,683.15,0,27.26,2.18756,0,97.56,6.4362
0,78.56,9.13156,-100,96,58.632,0,4025,705.284,0,0,0,0,4025,705.284,0,26.22,2.10678,0,121.28,6.62358
0,50.82,8.94548,-100,95,59.391,0,4029,708.554,0,0,0,0,4029,708.554,0,26.86,2.10738,0,97.18,6.29024
0,50.58,9.10328,-100,96,60.479,0,4004,696.429,0,0,0,0,4004,696.429,0,28.18,2.23984,0,81.22,6.53878
0,79.24,9.51406,-100,95,62.159,0,4012,685.279,0,0,0,0,4012,685.279,0,39.7,2.20746,0,96.7,6.33708
0,79.08,9.95576,-100,96,62.117,0,7495,692.365,0,0,0,0,7495,692.365,0,41.74,2.31456,0,96.76,6.14058
0,43.82,9.87712,-100,97,60.193,0,8121,678.382,0,0,0,0,8121,678.382,0,36.4,2.25238,0,81.5,5.9836
0,43.54,10.0042,-100,96,60.968,0,7793,709.336,0,0,0,0,7793,709.336,0,81.08,2.3574,0,97.54,6.81898
0,78.96,10.0707,-100,96,62.499,0,8067,733.668,0,0,0,0,8067,733.668,0,81.02,2.26592,0,96.26,7.21622
0,52.92,10.1456,-100,94,61.981,0,4024,690.658,0,0,0,0,4024,690.658,0,54.44,2.2276,0,97.96,7.04192
0,53.04,10.7562,-100,95,63.301,0,8068,692.618,0,0,0,0,8068,692.618,0,21.96,2.14064,0,97,6.42862
0,74.04,10.9632,-100,96,62.464,0,7776,707.207,0,0,0,0,7776,707.207,0,20.42,2.2456,0,96.76,6.692
0,27.62,10.9328,-100,98,63.092,0,7979,705.993,0,0,0,0,7979,705.993,0,23.14,2.23892,0,81.7,6.96902
0,40.76,11.7588,-100,98,63.908,0,7729,706.86,0,0,0,0,7729,706.86,0,40.44,2.20014,0,81.88,6.29172
0,33.28,11.1656,-100,98,63.347,0,7799,697.966,0,0,0,0,7799,697.966,0,40.8,2.14906,0,97.28,6.82484
0,39.1,11.4971,-100,98,63.75,0,6626,687.399,0,0,0,0,6626,687.399,0,43,2.01918,0,81.36,5.93956
0,41.18,11.4272,-100,96,63.429,0,7847,700.274,0,0,0,0,7847,700.274,0,20.06,1.93864,0,81.74,6.15906
0,47.1,11.4687,-100,98,63.797,0,7947,683.809,0,0,0,0,7947,683.809,0,29.74,2.09266,0,96.72,5.63538
0,47.08,11.5,-100,96,63.951,0,8098,690.924,0,0,0,0,8098,690.924,0,39.22,2.15126,0,88.18,6.11978
0,51.42,11.8623,-100,103.67,64.2827,0,8059,707.213,0,0,0,0,8059,707.213,0,39.32,2.193,0,81.56,6.02368
0,37.9,12.4105,-100,95,66.551,0,8020,730.674,0,0,0,0,8020,730.674,0,14.14,2.02088,0,81.62,5.59462
0,40.64,12.2694,-100,98,66.731,0,8058,703.683,0,0,0,0,8058,703.683,0,25.6,2.04372,0,81.14,5.50436
0,34.94,11.8244,-100,95,64.928,0,6266,710.266,0,0,0,0,6266,710.266,0,33.16,2.19376,0,81.46,5.48968
0,27.72,12.1449,-100,97,66.08,0,8040,689.117,0,0,0,0,8040,689.117,0,54.28,2.1503,0,81.22,5.1562
0,31.7,12.1627,-100,98,65.907,0,7709,701.981,0,0,0,0,7709,701.981,0,20.8,1.96448,0,81.44,5.61856
0,32.02,12.2862,-100,98,67.551,0,4020,672.126,0,0,0,0,4020,672.126,0,30.96,2.01748,0,81.54,5.14698
0,35.18,12.5877,-100,98,67.174,0,8084,690.184,0,0,0,0,8084,690.184,0,33.16,1.8816,0,81.26,4.95302
0,30.94,12.6653,-100,95,65.636,0,4020,673.994,0,0,0,0,4020,673.994,0,32.3,2.09368,0,81.36,5.06596
0,44.74,12.815,-100,96,67.085,0,7740,689.2,0,0,0,0,7740,689.2,0,18.36,1.91066,0,81.5,5.1586
0,29.74,12.7794,-100,96,68.586,0,7777,679.086,0,0,0,0,7777,679.086,0,17.36,1.90614,0,81.34,4.81276
0,41.02,12.4656,-100,97,66.82,0,7243,683.979,0,0,0,0,7243,683.979,0,24.74,1.84224,0,81.02,5.17488
0,38.18,12.1942,-100,97,63.824,0,7761,691.714,0,0,0,0,7761,691.714,0,16.38,1.79336,0,54.54,5.19358
